"","depth_of_cut","feed_rate","spindle_rate","POWER","ROUGHNESS","Machine"
"1","1 mm",134,950,46.7192944444444,0.84,"PB"
"2","1 mm",134,1187.5,47.3029027777778,0.469,"PB"
"3","1 mm",134,1425,47.3470777777778,1.089,"PB"
"4","1 mm",134,1662.5,47.8001888888889,0.879,"PB"
"5","1 mm",134,1900,48.8358861111111,0.63,"PB"
"6","1 mm",167.5,950,38.0060138888889,0.324,"PB"
"7","1 mm",167.5,1187.5,38.2934527777778,1.733,"PB"
"8","1 mm",167.5,1425,38.3292833333333,1.171,"PB"
"9","1 mm",167.5,1662.5,38.4081083333333,1.357,"PB"
"10","1 mm",167.5,1900,31.9917472222222,0.601,"PB"
"11","1 mm",201,950,31.9917472222222,0.451,"PB"
"12","1 mm",201,1187.5,31.8519361111111,1.742,"PB"
"13","1 mm",201,1425,32.2992833333333,1.016,"PB"
"14","1 mm",201,1662.5,32.6228083333333,1.107,"PB"
"15","1 mm",201,1900,33.556725,0.567,"PB"
"16","1 mm",234.5,950,27.6017583333333,0.42,"PB"
"17","1 mm",234.5,1187.5,27.9208416666667,1.825,"PB"
"18","1 mm",234.5,1425,28.2515722222222,1.211,"PB"
"19","1 mm",234.5,1662.5,28.6502666666667,1.334,"PB"
"20","1 mm",234.5,1900,29.0202416666667,0.642,"PB"
"21","1 mm",268,950,24.5105361111111,0.42,"PB"
"22","1 mm",268,1187.5,24.8758333333333,1.346,"PB"
"23","1 mm",268,1425,24.3944361111111,1.128,"PB"
"24","1 mm",268,1662.5,25.1074083333333,0.611,"PB"
"25","1 mm",268,1900,25.0221166666667,0.489,"PB"
"26","1.5 mm",134,950,46.0073611111111,0.942,"PB"
"27","1.5 mm",134,1187.5,47.4109777777778,0.687,"PB"
"28","1.5 mm",134,1425,47.7010833333333,1.48,"PB"
"29","1.5 mm",134,1662.5,48.1449472222222,0.427,"PB"
"30","1.5 mm",134,1900,50.1285638888889,0.609,"PB"
"31","1.5 mm",167.5,950,39.065575,1.12,"PB"
"32","1.5 mm",167.5,1187.5,39.0851027777778,1.164,"PB"
"33","1.5 mm",167.5,1425,40.388325,1.581,"PB"
"34","1.5 mm",167.5,1662.5,41.1856666666667,0.736,"PB"
"35","1.5 mm",167.5,1900,41.9526111111111,2.181,"PB"
"36","1.5 mm",201,950,33.0430138888889,0.875,"PB"
"37","1.5 mm",201,1187.5,33.6816,0.931,"PB"
"38","1.5 mm",201,1425,32.5704638888889,0.828,"PB"
"39","1.5 mm",201,1662.5,32.6863472222222,0.739,"PB"
"40","1.5 mm",201,1900,32.9317861111111,2.072,"PB"
"41","1.5 mm",234.5,950,27.4999888888889,0.647,"PB"
"42","1.5 mm",234.5,1187.5,27.7445555555555,1.269,"PB"
"43","1.5 mm",234.5,1425,28.5408472222222,1.245,"PB"
"44","1.5 mm",234.5,1662.5,28.9290111111111,0.53,"PB"
"45","1.5 mm",234.5,1900,28.9498416666667,1.446,"PB"
"46","1.5 mm",268,950,24.6252027777778,1.156,"PB"
"47","1.5 mm",268,1187.5,25.5596888888889,0.821,"PB"
"48","1.5 mm",268,1425,26.1106638888889,0.939,"PB"
"49","1.5 mm",268,1662.5,25.6911805555556,0.431,"PB"
"50","1.5 mm",268,1900,26.7463777777778,1.782,"PB"
"51","2 mm",167.5,950,38.6255333333333,1.153,"PB"
"52","2 mm",268,950,26.9081805555556,1.086,"PB"
"53","2 mm",234.5,950,29.0288555555556,0.985,"PB"
"54","2 mm",201,950,33.0498388888889,1.212,"PB"
"55","2 mm",134,950,45.9051027777778,2.723,"PB"
"56","2 mm",167.5,1187.5,38.7160388888889,1.875,"PB"
"57","2 mm",268,1187.5,23.7176666666667,0.768,"PB"
"58","2 mm",134,1187.5,45.840575,1.106,"PB"
"59","2 mm",234.5,1187.5,29.4573055555555,0.852,"PB"
"60","2 mm",201,1187.5,33.7904138888889,1.178,"PB"
"61","2 mm",167.5,1425,38.7992861111111,0.556,"PB"
"62","2 mm",134,1425,46.7606805555556,0.611,"PB"
"63","2 mm",268,1425,27.8099333333333,0.412,"PB"
"64","2 mm",234.5,1425,29.9272138888889,0.289,"PB"
"65","2 mm",201,1425,34.2789861111111,0.411,"PB"
"66","2 mm",167.5,1662.5,40.0464277777778,0.503,"PB"
"67","2 mm",134,1662.5,47.1301333333333,0.549,"PB"
"68","2 mm",268,1662.5,27.7002611111111,0.925,"PB"
"69","2 mm",234.5,1662.5,30.7236888888889,0.594,"PB"
"70","2 mm",201,1662.5,34.6022638888889,0.541,"PB"
"71","2 mm",134,1900,49.2752916666667,0.897,"PB"
"72","2 mm",268,1900,29.7159138888889,0.407,"PB"
"73","2 mm",234.5,1900,31.8131944444444,0.777,"PB"
"74","2 mm",201,1900,35.6427277777778,0.754,"PB"
"75","2 mm",167.5,1900,40.9134361111111,0.484,"PB"
"76","2.5 mm",134,950,48.9256638888889,0.866,"PB"
"77","2.5 mm",134,1187.5,50.5593472222222,0.585,"PB"
"78","2.5 mm",134,1425,50.3860694444445,0.283,"PB"
"79","2.5 mm",134,1662.5,52.3251388888889,0.665,"PB"
"80","2.5 mm",134,1900,53.3023777777778,0.535,"PB"
"81","2.5 mm",167.5,1900,44.6705611111111,0.948,"PB"
"82","2.5 mm",167.5,950,41.1150666666667,0.711,"PB"
"83","2.5 mm",167.5,1187.5,40.53375,0.4,"PB"
"84","2.5 mm",167.5,1425,42.6477555555556,0.442,"PB"
"85","2.5 mm",167.5,1662.5,42.9996055555556,0.432,"PB"
"86","2.5 mm",201,950,35.4209694444445,1.217,"PB"
"87","2.5 mm",201,1187.5,34.4323,0.943,"PB"
"88","2.5 mm",201,1425,36.1728388888889,0.546,"PB"
"89","2.5 mm",201,1662.5,37.7279611111111,0.844,"PB"
"90","2.5 mm",201,1900,38.8748694444444,0.55,"PB"
"91","2.5 mm",234.5,950,31.0322111111111,1.731,"PB"
"92","2.5 mm",234.5,1187.5,31.18795,1.061,"PB"
"93","2.5 mm",234.5,1425,31.9505472222222,0.791,"PB"
"94","2.5 mm",234.5,1662.5,33.7626972222222,1.443,"PB"
"95","2.5 mm",234.5,1900,34.6255,0.787,"PB"
"96","2.5 mm",268,950,28.0704666666667,0.61,"PB"
"97","2.5 mm",268,1187.5,28.2024583333333,0.7,"PB"
"98","2.5 mm",268,1425,28.3274305555556,1.013,"PB"
"99","2.5 mm",268,1662.5,29.8149555555556,0.656,"PB"
"100","2.5 mm",268,1900,32.1171444444444,0.651,"PB"
"101","3mm",134,950,48.6703528331454,0.838492104109297,"PB"
"102","3mm",134,1187.5,49.2608711108231,0.797022576957868,"PB"
"103","3mm",134,1425,49.811652345751,0.749809788763423,"PB"
"104","3mm",134,1662.5,50.3703960179442,0.698660458478992,"PB"
"105","3mm",134,1900,50.9351793801684,0.652082835616961,"PB"
"106","3mm",167.5,950,43.3423796787974,0.835950987486763,"PB"
"107","3mm",167.5,1187.5,43.9268237599115,0.798991894421986,"PB"
"108","3mm",167.5,1425,44.4832061844065,0.741458850889014,"PB"
"109","3mm",167.5,1662.5,45.0453177322089,0.697285955645626,"PB"
"110","3mm",167.5,1900,45.5798511807384,0.650088879779348,"PB"
"111","3mm",201,950,38.0411711380833,0.835191361248173,"PB"
"112","3mm",201,1187.5,38.6060970246546,0.78898784244228,"PB"
"113","3mm",201,1425,39.1894959541755,0.740888060441091,"PB"
"114","3mm",201,1662.5,39.7074140265239,0.6936105201338,"PB"
"115","3mm",201,1900,40.2650135538801,0.644282473766963,"PB"
"116","3mm",234.5,950,32.7041488810537,0.8348953733311,"PB"
"117","3mm",234.5,1187.5,33.2863819678459,0.782677301492558,"PB"
"118","3mm",234.5,1425,33.817546118064,0.738572910004517,"PB"
"119","3mm",234.5,1662.5,34.3778193877565,0.685225580837452,"PB"
"120","3mm",234.5,1900,34.932639000342,0.640439774927214,"PB"
"121","3mm",268,950,27.377921941545,0.830627831098353,"PB"
"122","3mm",268,1187.5,27.9577620275926,0.784382605488917,"PB"
"123","3mm",268,1425,28.5040657816686,0.732681711004068,"PB"
"124","3mm",268,1662.5,29.0379722387089,0.685976245248319,"PB"
"125","3mm",268,1900,29.6314610180129,0.633890738417361,"PB"
"126","1 mm",134,950,85.2791805555556,1.21599996089935,"ITM"
"127","1 mm",134,1187.5,80.3017805555555,0.501999974250794,"ITM"
"128","1 mm",134,1425,81.7928694444444,0.458999991416931,"ITM"
"129","1 mm",134,1662.5,85.1434194444444,0.331000000238419,"ITM"
"130","1 mm",134,1900,86.8667888888889,0.340999990701675,"ITM"
"131","1 mm",167.5,950,62.8850138888889,0.472000002861023,"ITM"
"132","1 mm",167.5,1187.5,71.5077305555555,1.01699995994568,"ITM"
"133","1 mm",167.5,1425,70.5343361111111,1.02799999713898,"ITM"
"134","1 mm",167.5,1662.5,71.6512333333334,0.555000007152557,"ITM"
"135","1 mm",167.5,1900,65.7138138888889,0.620999991893768,"ITM"
"136","1 mm",201,950,52.7145416666667,0.75900000333786,"ITM"
"137","1 mm",201,1187.5,54.1385916666667,0.51800000667572,"ITM"
"138","1 mm",201,1425,55.2390944444444,0.448000013828278,"ITM"
"139","1 mm",201,1662.5,59.7470222222222,0.625,"ITM"
"140","1 mm",201,1900,58.3698444444445,0.560999989509583,"ITM"
"141","1 mm",234.5,950,46.1848916666667,0.680000007152557,"ITM"
"142","1 mm",234.5,1187.5,46.8229111111111,1.5440000295639,"ITM"
"143","1 mm",234.5,1425,63.4860416666667,1.46300005912781,"ITM"
"144","1 mm",234.5,1662.5,49.2034916666667,1.80999994277954,"ITM"
"145","1 mm",234.5,1900,47.0704972222222,1.64800000190735,"ITM"
"146","1 mm",268,950,40.2800111111111,1.17599999904633,"ITM"
"147","1 mm",268,1187.5,42.0308055555556,0.910000026226044,"ITM"
"148","1 mm",268,1425,42.8975111111111,1.23599994182587,"ITM"
"149","1 mm",268,1662.5,46.9217138888889,1.53799998760223,"ITM"
"150","1 mm",268,1900,42.0162916666667,1.37100005149841,"ITM"
"151","1.5 mm",134,950,78.8395888888889,1.16700005531311,"ITM"
"152","1.5 mm",134,1187.5,81.7096444444445,0.96399998664856,"ITM"
"153","1.5 mm",134,1425,83.1840472222222,0.648999989032745,"ITM"
"154","1.5 mm",134,1662.5,83.0117805555555,0.772000014781952,"ITM"
"155","1.5 mm",134,1900,83.4734555555555,0.716000020503998,"ITM"
"156","1.5 mm",167.5,950,64.57895,0.569000005722046,"ITM"
"157","1.5 mm",167.5,1187.5,66.2748666666667,2.99600005149841,"ITM"
"158","1.5 mm",167.5,1425,67.9216333333333,2.74799990653992,"ITM"
"159","1.5 mm",167.5,1662.5,68.2532527777777,1.95200002193451,"ITM"
"160","1.5 mm",167.5,1900,66.6692138888889,2.08899998664856,"ITM"
"161","1.5 mm",201,950,54.5505277777778,2.63700008392334,"ITM"
"162","1.5 mm",201,1187.5,55.0370305555556,2.9449999332428,"ITM"
"163","1.5 mm",201,1425,57.1654611111111,3.17899990081787,"ITM"
"164","1.5 mm",201,1662.5,61.6306555555556,1.69500005245209,"ITM"
"165","1.5 mm",201,1900,59.0854777777778,2.16700005531311,"ITM"
"166","1.5 mm",234.5,950,46.4658527777778,2.39299988746643,"ITM"
"167","1.5 mm",234.5,1187.5,47.22985,2.96399998664856,"ITM"
"168","1.5 mm",234.5,1425,49.0808944444445,2.59500002861023,"ITM"
"169","1.5 mm",234.5,1662.5,48.7250444444444,1.69000005722046,"ITM"
"170","1.5 mm",234.5,1900,48.2873888888889,2.40400004386902,"ITM"
"171","1.5 mm",268,950,41.1266166666667,2.48399996757507,"ITM"
"172","1.5 mm",268,1187.5,46.3515527777778,3.0550000667572,"ITM"
"173","1.5 mm",268,1425,48.1094194444444,3.35899996757507,"ITM"
"174","1.5 mm",268,1662.5,43.6229972222222,2.82699990272522,"ITM"
"175","1.5 mm",268,1900,43.0853416666667,2.15799999237061,"ITM"
"176","2 mm",167.5,950,73.1116583333333,0.524999976158142,"ITM"
"177","2 mm",268,950,46.7692111111111,1,"ITM"
"178","2 mm",234.5,950,56.3038305555556,1.03900003433228,"ITM"
"179","2 mm",201,950,58.4478916666667,0.856000006198883,"ITM"
"180","2 mm",134,950,84.0185055555556,1.0789999961853,"ITM"
"181","2 mm",167.5,1187.5,68.0579361111111,0.569000005722046,"ITM"
"182","2 mm",268,1187.5,46.5970583333333,0.880999982357025,"ITM"
"183","2 mm",134,1187.5,91.0338333333333,0.46000000834465,"ITM"
"184","2 mm",234.5,1187.5,54.7224583333334,1.32400000095367,"ITM"
"185","2 mm",201,1187.5,60.0614916666667,1.182000041008,"ITM"
"186","2 mm",167.5,1425,80.531125,0.560999989509583,"ITM"
"187","2 mm",134,1425,91.2587527777778,0.611000001430512,"ITM"
"188","2 mm",268,1425,48.1609444444445,0.913999974727631,"ITM"
"189","2 mm",234.5,1425,53.0241805555556,0.940999984741211,"ITM"
"190","2 mm",201,1425,67.9185805555556,1.01499998569489,"ITM"
"191","2 mm",167.5,1662.5,73.3947777777778,0.455000013113022,"ITM"
"192","2 mm",134,1662.5,98.2616527777777,0.472000002861023,"ITM"
"193","2 mm",268,1662.5,53.5365333333333,0.837999999523163,"ITM"
"194","2 mm",234.5,1662.5,53.6347805555556,0.894999980926514,"ITM"
"195","2 mm",201,1662.5,60.753675,0.736000001430511,"ITM"
"196","2 mm",134,1900,86.6931784126984,0.637000024318695,"ITM"
"197","2 mm",268,1900,52.2930222222222,0.523000001907349,"ITM"
"198","2 mm",234.5,1900,57.7100805555556,1.20899999141693,"ITM"
"199","2 mm",201,1900,59.49005,1.03799998760223,"ITM"
"200","2 mm",167.5,1900,70.3770888888889,0.694000005722046,"ITM"
"201","2.5 mm",134,950,88.1356138888889,1.13800001144409,"ITM"
"202","2.5 mm",134,1187.5,81.6552777777778,0.825999975204468,"ITM"
"203","2.5 mm",134,1425,86.7566833333333,0.689999997615814,"ITM"
"204","2.5 mm",134,1662.5,88.6085583333334,0.737999975681305,"ITM"
"205","2.5 mm",134,1900,83.2639833333333,0.889999985694885,"ITM"
"206","2.5 mm",167.5,1900,66.7371055555556,1.01499998569489,"ITM"
"207","2.5 mm",167.5,950,65.4065666666667,1.04200005531311,"ITM"
"208","2.5 mm",167.5,1187.5,66.9949083333333,1.10000002384186,"ITM"
"209","2.5 mm",167.5,1425,76.5027916666667,0.486000001430512,"ITM"
"210","2.5 mm",167.5,1662.5,68.8710222222222,0.802999973297119,"ITM"
"211","2.5 mm",201,950,54.7810944444444,1.14199995994568,"ITM"
"212","2.5 mm",201,1187.5,60.0031277777777,0.915000021457672,"ITM"
"213","2.5 mm",201,1425,63.9104611111111,0.486000001430512,"ITM"
"214","2.5 mm",201,1662.5,58.3219166666667,0.843999981880188,"ITM"
"215","2.5 mm",201,1900,59.783675,0.814999997615814,"ITM"
"216","2.5 mm",234.5,950,53.2470444444444,0.912999987602234,"ITM"
"217","2.5 mm",234.5,1187.5,50.5369972222222,0.869000017642975,"ITM"
"218","2.5 mm",234.5,1425,50.7354861111111,0.550999999046326,"ITM"
"219","2.5 mm",234.5,1662.5,51.1292472222222,1.16600000858307,"ITM"
"220","2.5 mm",234.5,1900,55.6707083333333,1.13900005817413,"ITM"
"221","2.5 mm",268,950,46.7205,1.14900004863739,"ITM"
"222","2.5 mm",268,1187.5,43.6732027777778,1.06400001049042,"ITM"
"223","2.5 mm",268,1425,45.1329611111111,1.07299995422363,"ITM"
"224","2.5 mm",268,1662.5,49.3625944444444,0.695999979972839,"ITM"
"225","2.5 mm",268,1900,44.3129416666667,0.989000022411346,"ITM"
"226","3mm",134,950,88.134,1.609,"ITM"
"227","3mm",134,1187.5,92.148,1.474,"ITM"
"228","3mm",134,1425,86.018,1.495,"ITM"
"229","3mm",134,1662.5,94.264,2.154,"ITM"
"230","3mm",134,1900,86.741,2.862,"ITM"
"231","3mm",167.5,950,69.173,2.165,"ITM"
"232","3mm",167.5,1187.5,71.508,1.919,"ITM"
"233","3mm",167.5,1425,81.318,2.084,"ITM"
"234","3mm",167.5,1662.5,80.423,1.692,"ITM"
"235","3mm",167.5,1900,74.756,2.56,"ITM"
"236","3mm",201,950,64.153,2.3,"ITM"
"237","3mm",201,1187.5,67.621,2.678,"ITM"
"238","3mm",201,1425,65.926,2.239,"ITM"
"239","3mm",201,1662.5,67.097,2.312,"ITM"
"240","3mm",201,1900,67.673,2.273,"ITM"
"241","3mm",234.5,950,58.833,1.887,"ITM"
"242","3mm",234.5,1187.5,57.269,1.596,"ITM"
"243","3mm",234.5,1425,62.352,1.921,"ITM"
"244","3mm",234.5,1662.5,60.768,1.95,"ITM"
"245","3mm",234.5,1900,59.064,2.199,"ITM"
"246","3mm",268,950,47.619,1.797,"ITM"
"247","3mm",268,1187.5,49.65,1.43,"ITM"
"248","3mm",268,1425,50.956,2.75,"ITM"
"249","3mm",268,1662.5,52.887,1.213,"ITM"
"250","3mm",268,1900,53.503,0.966,"ITM"
